,Original,Standardized
1836,Colon Cancer Liver Metastasis,Colon Cancer Liver Metastasis
1837,"Sarcoidosis, Pulmonary",Pulmonary Sarcoidosis
1838,STEMI - ST Elevation Myocardial Infarction; Left Ventricular Systolic Dysfunction,STEMI with Left Ventricular Systolic Dysfunction
1839,Adenocarcinoma of the Prostate; Recurrent Prostate Cancer,Adenocarcinoma of the Prostate; Recurrent Prostate Cancer
1840,Colon Adenocarcinoma; Stage IIA Colon Cancer AJCC v8,Stage IIA Colon Cancer
1841,Prostate Cancer; Prostate Adenocarcinoma,Prostate Cancer; Prostate Adenocarcinoma
1842,AML; MDS,AML; MDS
1843,Effects of the DPP-4 Inhibitors or SGLT2 Inhibitors on the Protective Actions for Diabetic Complications,Diabetic Complications
1844,Colorectal Cancer Metastatic; Chemotherapy Effect; Chemotherapeutic Toxicity,Metastatic Colorectal Cancer with Chemotherapy Effects
1845,Adenocarcinoma of the Prostate; Hormone-resistant Prostate Cancer; Recurrent Prostate Cancer; Stage IV Prostate Cancer,Adenocarcinoma of the Prostate; Hormone-resistant Prostate Cancer; Recurrent Prostate Cancer; Stage IV Prostate Cancer
1846,Interaction,Interaction
1847,Bioequivalence; Healthy Subjects,Bioequivalence Studies
1848,Vitrectomy,Vitrectomy
1849,"Glioblastoma, Adult","Glioblastoma, Adult"
1850,"Unresectable Metastatic Right-sided Colon Cancer Starting First-line Combination Chemotherapy; Unresectable Metastatic Right-sided Colon Cancer, Stage IV",Metastatic Colon Cancer
1851,Therapeutic Equivalency,Therapeutic Equivalency
1852,Meniere's Disease,Meniere's Disease
1853,Objective Response; Overall Survival,Treatment Response Measures
1854,Implant,Implant
1855,Acute Hypoxemic Respiratory Failure,Acute Hypoxemic Respiratory Failure
1856,Implant Placement,Implant Placement
1857,"Cancer, Oropharynx; Pain, Intractable; Cancer Pain",Cancer Pain
1858,Ulcerative Colitis; Crohn's Disease,Ulcerative Colitis; Crohn's Disease
1859,Melanoma; Solid Tumors,Melanoma and Solid Tumors
1860,"Chronic Myeloproliferative Disorders; Leukemia; Lymphoma; Multiple Myeloma and Plasma Cell Neoplasm; Myelodysplastic Syndromes; Precancerous Condition; Unspecified Adult Solid Tumor, Protocol Specific","Chronic Myeloproliferative Disorders; Leukemia; Lymphoma; Multiple Myeloma and Plasma Cell Neoplasm; Myelodysplastic Syndromes; Precancerous Condition; Unspecified Adult Solid Tumor, Protocol Specific"
1861,Glioblastoma; Recurrent Disease; Recurrent Glioblastoma,Glioblastoma; Recurrent Disease; Recurrent Glioblastoma
1862,Coronary Artery Disease; Diabete Mellitus,Coronary Artery Disease with Diabetes Mellitus
1863,Heart Failure; Chronic Kidney Disease,Heart Failure; Chronic Kidney Disease
1864,Morning Sickness,Morning Sickness
1865,Mental Health,Mental Health
1866,CVA (Cerebrovascular Accident); Stroke; Upper Extremity Paresis,CVA (Cerebrovascular Accident); Stroke; Upper Extremity Paresis
1867,Non-Muscle Invasive Bladder Urothelial Carcinoma,Non-Muscle Invasive Bladder Urothelial Carcinoma
1868,"Carcinoma, Small Cell; Lung Cancer; Small Cell Lung Cancer","Carcinoma, Small Cell; Lung Cancer; Small Cell Lung Cancer"
1869,Impotence; Erectile Dysfunction,Impotence; Erectile Dysfunction
1870,Non-Metastatic Prostate Cancer,Prostate Cancer (Non-Metastatic)
1871,Non-Hodgkins Lymphoma; Hodgkin's Disease; Acute Lymphoblastic Leukemia,Lymphoma and Lymphoblastic Leukemia
1872,Chronic Myeloproliferative Disorders; Leukemia; Lymphoma; Multiple Myeloma and Plasma Cell Neoplasm; Myelodysplastic Syndromes; Myelodysplastic/Myeloproliferative Neoplasms; Unusual Cancers of Childhood,Chronic Myeloproliferative Disorders; Leukemia; Lymphoma; Multiple Myeloma and Plasma Cell Neoplasm; Myelodysplastic Syndromes; Myelodysplastic/Myeloproliferative Neoplasms; Unusual Cancers of Childhood
1873,Obesity; Weight Loss,Obesity
1874,Ulcerative Colitis; Inflammatory Bowel Diseases,Ulcerative Colitis; Inflammatory Bowel Diseases
1875,Impaired Glucose Tolerance,Impaired Glucose Tolerance
1876,Breast Neoplasm Malignant Female,Breast Neoplasm Malignant Female
1877,Chronic Rhinosinusitis; Aspirin Exacerbated Respiratory Disease; Asthma; Aspirin Sensitivity,Respiratory Diseases
1878,Bladder Cancer; Non-muscle Invasive Bladder Cancer; Low-risk,Non-muscle Invasive Bladder Cancer
1879,Metastatic or Locally Advanced Malignancies,Metastatic or Locally Advanced Malignancies
1880,Covid19; SARS (Severe Acute Respiratory Syndrome),Covid19; SARS (Severe Acute Respiratory Syndrome)
1881,Tenosynovitis,Tenosynovitis
1882,Mania,Mania
1883,Obesity; Type 2 Diabetes,Obesity with Type 2 Diabetes
1884,Testicular Cancer,Testicular Cancer
1885,"Bioequivalence, AUC, Cmax, Pharmacokinetics",Pharmacokinetics and Bioequivalence
1886,Testicular Cancer; Germ Cell Neoplasm,Testicular Germ Cell Neoplasm
1887,Mandibular Fractures,Mandibular Fractures
1888,"CNS Embryonal Tumor; CNS, Medulloblastoma; Atypical Teratoid Rhabdoid Tumor; Medulloblastoma, Childhood; Medulloblastoma, Group 3; Medulloblastoma, Group 4; Pineoblastoma; Neuroblastoma; Embryonal Tumor With Multilayered Rosettes; Embryonal Tumor With Abundant Neuropil and True Rosettes; Ependymoblastoma; Medulloepithelioma; CNS Embryonal Tumor With Rhabdoid Features; CNS Embryonal Tumor, Nos",CNS Embryonal Tumors
1889,Colorectal Cancer; Colorectal Carcinoma; Colorectal Adenocarcinoma; Refractory Cancer; Colorectal Neoplasms,Colorectal Cancer
1890,Uncomplicated Falciparum Malaria,Uncomplicated Falciparum Malaria
1891,Testicular Neoplasms,Testicular Neoplasms
1892,Hypogonadism,Hypogonadism
1893,Hematoma,Hematoma
1894,Bladder Urothelial Carcinoma; Stage III Bladder Cancer AJCC v8,Bladder Urothelial Carcinoma
1895,"Head and Neck Neoplasms; Carcinoma, Squamous Cell","Head and Neck Neoplasms; Carcinoma, Squamous Cell"
1896,Coronary Artery Disease; Myocardial Infarction,Coronary Artery Disease
1897,Carcinoma; Non-Small-Cell Lung,Carcinoma; Non-Small-Cell Lung
1898,Melanoma; Metastasis,Metastatic Melanoma
1899,Colorectal Cancer; Cholangiocarcinoma,Colorectal Cancer; Cholangiocarcinoma
1900,"CRS; Polyp, Nasal",Chronic Rhinosinusitis with Nasal Polyps
1901,Circulating Tumor Cell; Nasopharyngeal Carcinoma; Distant Metastases.Clinical; Effects of Chemotherapy,Nasopharyngeal Carcinoma
1902,Malignant Gliomas,Malignant Gliomas
1903,Acute HIV Infection,Acute HIV Infection
1904,HR+/HER2- Breast Cancer,HR+/HER2- Breast Cancer
1905,Insulin Resistance,Insulin Resistance
1906,Breast Cancer; HER2-positive Breast Cancer; ER Positive Breast Cancer; PR-Positive Breast Cancer,Breast Cancer; HER2-positive Breast Cancer; ER Positive Breast Cancer; PR-Positive Breast Cancer
1907,Gonorrhea,Gonorrhea
1908,Coronary Arterial Disease (CAD),Coronary Arterial Disease (CAD)
1909,"Heart Failure, Congestive","Heart Failure, Congestive"
1910,Insulin Resistance; Diabetes Mellitus,Diabetes Mellitus with Insulin Resistance
1911,Cocaine-Related Disorders,Cocaine-Related Disorders
1912,Bile Duct Cancer,Bile Duct Cancer
1913,HNSCC; Head and Neck Neoplasms,HNSCC; Head and Neck Neoplasms
1914,Metabolism and Nutrition Disorder; Obesity,Metabolism and Nutrition Disorder; Obesity
1915,Non Small Cell Lung Cancer (Squamous or Non Squamous),Non-Small Cell Lung Cancer
1916,BREAST CANCER,BREAST CANCER
1917,Mucosa-Associated Lymphoid Tissue Lymphoma,Mucosa-Associated Lymphoid Tissue Lymphoma
1918,CYP3A4*22,CYP3A4*22
1919,Hematologic Malignancies; Multiple Myeloma,Hematologic Malignancies; Multiple Myeloma
1920,Colorectal Cancer Metastatic; Myelosuppression-Adult; Chemotherapeutic Toxicity,Metastatic Colorectal Cancer with Chemotherapy Complications
1921,Cachexia,Cachexia
1922,Ulcerative Colitis (UC),Ulcerative Colitis
1923,"Acute Lymphoblastic Leukemia, Pediatric; Relapsed Acute Lymphoblastic Leukemia; Refractory Acute Lymphoblastic Leukemia","Acute Lymphoblastic Leukemia, Pediatric"
1924,Thyroid-associated Ophthalmopathy,Thyroid-associated Ophthalmopathy
1925,Malignant Female Reproductive System Neoplasm; Malignant Solid Neoplasm; Recurrent Malignant Female Reproductive System Neoplasm; Recurrent Malignant Solid Neoplasm,Malignant Female Reproductive System Neoplasm
1926,Upper Limb Injury,Upper Limb Injury
1927,Hypospadias,Hypospadias
1928,"Metastases, Neoplasm; Carcinoma, Non-small Cell Lung; Renal Cell Carcinoma; Neuroendocrine Tumors",Metastatic Solid Tumors
1929,Breast Cancer; Hormone Receptor Positive Tumor,Breast Cancer; Hormone Receptor Positive Tumor
1930,Colonic Neoplasms,Colonic Neoplasms
1931,Hepatitis,Hepatitis
1932,Acute Coronary Syndrome; Myocardial Infarction; Coronary Artery Disease; Percutaneous Coronary Intervention,Acute Coronary Syndrome
1933,Grade 1 Glioma; Mixed Glio-neuronal Tumors; Pleomorphic Xanthoastrocytoma,Low-Grade Glioma
1934,Chronic Neck Pain,Chronic Neck Pain
1935,Chronic Myeloproliferative Disorders; Leukemia; Myelodysplastic/Myeloproliferative Diseases,Chronic Myeloproliferative Disorders; Leukemia; Myelodysplastic/Myeloproliferative Diseases
1936,Acute Exacerbation of Chronic Obstructive Pulmonary Disease,Acute Exacerbation of Chronic Obstructive Pulmonary Disease
1937,Non Small Cell Lung Cancer; Hepatitis B,Non Small Cell Lung Cancer; Hepatitis B
1938,"Mesothelioma, Malignant",Malignant Mesothelioma
1939,Metabolic Associated Fatty Liver Disease,Metabolic Associated Fatty Liver Disease
1940,Thromboembolism,Thromboembolism
1941,Benign Prostate Hyperplasia,Benign Prostatic Hyperplasia
1942,Coagulation Disorder,Coagulation Disorder
1943,Head and Neck Squamous Cell Cancer,Head and Neck Squamous Cell Cancer
1944,Benign Prostatic Hyperplasia (BPH),Benign Prostatic Hyperplasia (BPH)
1945,Back Pain; Neck Pain,Back and Neck Pain
1946,In Vitro Fertilization,In Vitro Fertilization
1947,Acute Graft Versus Host Disease,Acute Graft Versus Host Disease
1948,Lymphoma Patient,Lymphoma Patient
1949,Acute Gouty Arthritis,Acute Gouty Arthritis
1950,Thrombosis; Hemolysis,Thrombosis with Hemolysis
1951,"Back Pain, Low","Back Pain, Low"
1952,Thrombotic Thrombocytopenic Purpura (TTP),Thrombotic Thrombocytopenic Purpura
1953,Motor Neuron Disease,Motor Neuron Disease
1954,Covid19; SARS-Associated Coronavirus,Covid19; SARS-Associated Coronavirus
1955,Malignant Glioma,Malignant Glioma
1956,Mucinous Adenocarcinoma of the Colon; Mucinous Adenocarcinoma of the Rectum,Mucinous Adenocarcinoma of the Colon and Rectum
1957,Acute GVH Disease,Acute Graft-versus-Host Disease
1958,Thymic Carcinoma,Thymic Carcinoma
1959,Non Small Cell Lung Cancer; Small-cell Lung Cancer,Non Small Cell Lung Cancer; Small-cell Lung Cancer
1960,Back Pain Lower Back Chronic,Chronic Lower Back Pain
1961,Appendicitis,Appendicitis
1962,Upper Gastrointestinal Hemorrhage,Upper Gastrointestinal Hemorrhage
1963,Non Small Cell Lung Cancer; Lung Cancer,Non Small Cell Lung Cancer; Lung Cancer
1964,"Carcinoma, Pancreatic Ductal; Prognosis","Carcinoma, Pancreatic Ductal; Prognosis"
1965,Mansonella Perstans Infection; Mp Microfilaremia,Mansonella Perstans Infection
1966,Lymphedema; Lymphatic Filariasis; Filariasis,Lymphatic Disorders
1967,Cough; Healthy,Cough
1968,Lyme Disease,Lyme Disease
1969,Hand Eczema,Hand Eczema
1970,Systemic Sclerosis,Systemic Sclerosis
1971,Hemodynamic Instability,Hemodynamic Instability
1972,Maxillary Expansion,Maxillary Expansion
1973,Malignant Rhabdoid Tumor; Atypical Teratoid Rhabdoid Tumor,Rhabdoid Tumors
1974,T Lymphoblastic Leukemia/Lymphoma,T-lymphoblastic Leukemia/Lymphoma
1975,Breast Cancer; Neoplasm Metastasis,Breast Cancer; Neoplasm Metastasis
1976,Maxillary Sinus Floor Augmentation,Maxillary Sinus Floor Augmentation
1977,Behavior,Behavior
1978,Unipolar Depression,Unipolar Depression
1979,COPD Exacerbation,Acute Exacerbation of Chronic Obstructive Pulmonary Disease
1980,Nonsquamous Nonsmall Cell Neoplasm of Lung,Nonsquamous Nonsmall Cell Neoplasm of Lung
1981,CNS Lymphoma,CNS Lymphoma
1982,Maxillofacial Surgery,Maxillofacial Surgery
1983,Mitochondrial Biogenesis,Mitochondrial Biogenesis
1984,Geriatric Depression; Cognitive Impairment,Geriatric Depression with Cognitive Impairment
1985,Microsatellite Stable Metastatic Colorectal Cancer,Microsatellite Stable Metastatic Colorectal Cancer
1986,T-cell Acute Lymphoblastic Leukemia; ALLOGENEIC HEMATOPOIETIC STEM CELL TRANSPLANTATION; Relapse,T-cell Acute Lymphoblastic Leukemia
1987,Nonarteritic Anterior Ischemic Optic Neuropathy,Nonarteritic Anterior Ischemic Optic Neuropathy
1988,Mechanical Low Back Pain,Mechanical Low Back Pain
1989,Cardiac Complication; Vascular Diseases,Cardiac Complication; Vascular Diseases
1990,Hypertrophic Scar,Hypertrophic Scar
1991,Germ Cell Tumor; Yolk Sac Tumor,Germ Cell Tumor; Yolk Sac Tumor
1992,"Hepatitis D, Chronic",Chronic Hepatitis D
1993,ccRCC; RCC; Kidney Cancer; Clear Cell Renal Cell Carcinoma; Renal Cell Carcinoma,ccRCC; RCC; Kidney Cancer; Clear Cell Renal Cell Carcinoma; Renal Cell Carcinoma
1994,Coronavirus,Coronavirus
1995,Gestational Diabetes Mellitus,Gestational Diabetes Mellitus
1996,Gestational Diabetes Mellitus in Pregnancy,Gestational Diabetes Mellitus
1997,Lungcancer,Lungcancer
1998,Microscopic Colitis,Microscopic Colitis
1999,Malignant Solid Tumors,Malignant Solid Tumors
2000,Colorectal Adenocarcinoma,Colorectal Adenocarcinoma
2001,Classical Hodgkin Lymphoma; Relapsed or Refractory Classical Hodgkin Lymphoma,Classical Hodgkin Lymphoma; Relapsed or Refractory Classical Hodgkin Lymphoma
2002,Obesity; Body Fat; Insulin Resistance,Obesity with Insulin Resistance
2003,Migraine With Aura,Migraine With Aura
2004,Wrinkle,Wrinkle
2005,"Obesity, Morbid","Obesity, Morbid"
2006,Clear Cell Metastatic Renal Cell Carcinoma,Clear Cell Metastatic Renal Cell Carcinoma
2007,Hemodialysis Complication,Hemodialysis Complication
2008,2019 Novel Coronavirus Disease; 2019 Novel Coronavirus Infection; 2019-nCoV Disease; 2019-nCoV Infection; COVID-19 Pandemic; COVID-19 Virus Disease; COVID-19 Virus Infection; Covid19; Coronavirus Disease 2019; SARS-CoV-2 Infection; SARS-CoV-2 Acute Respiratory Disease; COVID-19,COVID-19
2009,Intracranial Meningioma; Recurrent Meningioma; NF2 Gene Mutation,Meningioma
2010,Wound Healing,Wound Healing
2011,Obesity and Overweight,Obesity and Overweight
2012,Hemangioma,Hemangioma
2013,Malignant Tumors,Malignant Neoplasm
2014,Lung Transplant,Lung Transplant
2015,Migraine Headaches,Migraine Headaches
2016,Marginal Zone Lymphoma,Marginal Zone Lymphoma
2017,Helicobacter-associated Gastritis,Helicobacter-associated Gastritis
2018,ASTHMA,ASTHMA
2019,Behcet Syndrome,Behcet Syndrome
2020,Nutritional Requirements,Nutritional Requirements
2021,COVID-19; SARS-CoV-2,COVID-19; SARS-CoV-2
2022,"Nutrition, Healthy",Healthy Nutrition
2023,Systemic Fungal Infections,Systemic Fungal Infections
2024,Gastrointestinal Neoplasm,Gastrointestinal Neoplasm
2025,Malignant Tumor,Malignant Tumor
2026,"Systemic Inflammatory Response Syndrome; Postoperative Pain, Acute; Postoperative Pain, Chronic; Infections Postoperative; Opioid Use; Anesthesia; Non-small Cell Lung Cancer",Systemic Inflammatory Response Syndrome
2027,Colorectal Adenoma,Colorectal Adenoma
2028,Mechanical Ventilation Complication,Mechanical Ventilation Complication
2029,Biochemically Recurrent Prostate Carcinoma; Metastatic Prostate Carcinoma; Prostate Adenocarcinoma; Stage IVB Prostate Cancer AJCC v8,Advanced Prostate Cancer
2030,Heart Failure，Congestive,Heart Failure，Congestive
2031,Non-metastatic Prostate Cancer; Non-metastatic Castration-resistant Prostate Cancer,Non-metastatic Castration-resistant Prostate Cancer
2032,Breast Cancer; Prostate Cancer; Ovarian Cancer,"Breast, Prostate, and Ovarian Cancers"
2033,Obesity; Healthy,Obesity and Weight Management
2034,Non-small Cell Lung Cancer (NSCLC); EGFR-TKI Resistant Mutation; EGFR-TKI Sensitizing Mutation; Germline Mutations; Somatic Mutation,Non-small Cell Lung Cancer (NSCLC); EGFR-TKI Resistant Mutation; EGFR-TKI Sensitizing Mutation; Germline Mutations; Somatic Mutation
2035,Supraventricular Tachycardia,Supraventricular Tachycardia
2036,Acute Lymphoblastic Leukemia (ALL),Acute Lymphoblastic Leukemia (ALL)
2037,Intrahepatic Cholangiocarcinoma (Icc),Intrahepatic Cholangiocarcinoma
2038,Breast Cancer; Triple Negative Breast Cancer (TNBC); Early Stage Breast Cancer; Immunotherapy; Probiotic,Breast Cancer; Triple Negative Breast Cancer (TNBC); Early Stage Breast Cancer; Immunotherapy; Probiotic
2039,Tinea Pedis; Athlete's Foot,Tinea Pedis
2040,Waldenström's Macroglobulinemia,Waldenström's Macroglobulinemia
2041,Chronic Myelomonocytic Leukemia; de Novo Myelodysplastic Syndrome; Essential Thrombocythemia; Myelodysplastic Syndrome; Myelodysplastic/Myeloproliferative Neoplasm; Polycythemia Vera; Previously Treated Myelodysplastic Syndrome; Primary Myelofibrosis; Recurrent Adult Acute Myeloid Leukemia; Recurrent Childhood Acute Myeloid Leukemia; Untreated Adult Acute Myeloid Leukemia,Chronic Myelomonocytic Leukemia; de Novo Myelodysplastic Syndrome; Essential Thrombocythemia; Myelodysplastic Syndrome; Myelodysplastic/Myeloproliferative Neoplasm; Polycythemia Vera; Previously Treated Myelodysplastic Syndrome; Primary Myelofibrosis; Recurrent Adult Acute Myeloid Leukemia; Recurrent Childhood Acute Myeloid Leukemia; Untreated Adult Acute Myeloid Leukemia
2042,Waldenström Macroglobulinemia,Waldenström Macroglobulinemia
2043,Impacted Third Molar Tooth,Impacted Third Molar Tooth
2044,"Glaucoma, Open-Angle",Open-Angle Glaucoma
2045,Hypoactive Sexual Desire Disorder,Hypoactive Sexual Desire Disorder
2046,Non-squamous Nonsmall Cell Neoplasm of Lung,Non-squamous Nonsmall Cell Neoplasm of Lung
2047,Temporomandibular Disorders,Temporomandibular Disorders
2048,Vulvodynia; Vulvar Vestibulitis,Vulvodynia
2049,Glaucoma; Cataract,Ocular Disorders
2050,Chronic Myeloid Leukemia (CML); Philadelphia Chromosome Positive Acute Lymphoblastic Leukemia (Ph+ ALL),Philadelphia Chromosome Positive Leukemias
2051,Haploidentical Stem Cell Transplantation; Conditioning,Haploidentical Stem Cell Transplantation
2052,Aortic Valve Disease,Aortic Valve Disease
2053,Head and Neck Carcinoma,Head and Neck Carcinoma
2054,Mobility Limitation,Mobility Limitation
2055,Abdominal Pain,Abdominal Pain
2056,Moderate Hepatic Impairment,Moderate Hepatic Impairment
2057,Macular Edema; Uveitis,Macular Edema and Uveitis
2058,Non-hodgkin Lymphoma,Non-hodgkin Lymphoma
2059,Beta-Thalassemia,Beta-Thalassemia
2060,Heavy Menstrual Bleeding; Uterine Fibroid,Uterine Disorders
2061,Breast Neoplasm; Breast Cancer; Hormone Receptor Positive Tumor; HER2-negative Breast Cancer; Advanced Breast Cancer,"Hormone Receptor Positive, HER2-negative, Advanced Breast Cancer"
2062,TMD,Temporomandibular Joint Dysfunction Syndrome
2063,"HR-positive, HER2-negative Advanced Breast Cancer","HR-positive, HER2-negative Advanced Breast Cancer"
2064,Micronutrient Status,Micronutrient Status
2065,"Surgery; Anesthesia, Local; Postoperative Pain",Postoperative Pain Management
2066,Hepatitis D,Hepatitis D
2067,Anxiety; Depression,Anxiety and Depression
2068,"Acute Leukemia of Ambiguous Lineage in Relapse; Acute Myeloid Leukemia, in Relapse; Refractory Acute Leukemia of Ambiguous Lineage; Refractory Acute Myeloid Leukemia",Relapsed/Refractory Acute Leukemia
2069,Non-squamous NSCLC,Non-Squamous Non-Small Cell Lung Cancer
2070,Colorectal Cancer; Cancer of Pancreas; Pancreatic Neoplasm; Malignant Neoplasm of Large Intestine; Malignant Tumor of Colon; Colon Carcinoma; Cancer of Colon; Pancreatic Cancer,Colorectal Cancer; Cancer of Pancreas; Pancreatic Neoplasm; Malignant Neoplasm of Large Intestine; Malignant Tumor of Colon; Colon Carcinoma; Cancer of Colon; Pancreatic Cancer
2071,Clear Cell Renal Cell Carcinoma; Metastatic Malignant Neoplasm in the Bone; Metastatic Malignant Neoplasm in the Lymph Nodes; Metastatic Malignant Neoplasm in the Soft Tissue; Metastatic Malignant Neoplasm in the Viscera; Rhabdoid Tumor of the Kidney; Sarcomatoid Renal Cell Carcinoma; Stage III Renal Cell Cancer AJCC v8; Stage IV Renal Cell Cancer AJCC v8,Renal Cell Carcinoma
2072,Non-small-cell Lung Cancer With Somatic EGFR Mutations,Non-small-cell Lung Cancer With Somatic EGFR Mutations
2073,Clear-cell Metastatic Renal Cell Carcinoma,Clear-cell Metastatic Renal Cell Carcinoma
2074,Bladder Urothelial Carcinoma; Muscle Invasive Bladder Carcinoma; Stage II Bladder Cancer AJCC v8; Stage IIIA Bladder Cancer AJCC v8,Muscle Invasive Bladder Cancer
2075,"Head and Neck Cancer; Carcinoma, Squamous Cell",Head and Neck Cancer
2076,"Non-small Cell Lung Carcinoma; Urothelial Carcinoma; Gastrointestinal Carcinoma, Non-colon; Upper Aerodigestive Tract Carcinoma","Non-small Cell Lung Carcinoma; Urothelial Carcinoma; Gastrointestinal Carcinoma, Non-colon; Upper Aerodigestive Tract Carcinoma"
2077,Head and Neck Cancer; Lung Cancer,Head and Neck Cancer; Lung Cancer
2078,Cleft Palate,Cleft Palate
2079,Clinical Efficacy; Safety,Clinical Efficacy and Safety
2080,Clinical Stage I Esophageal Adenocarcinoma AJCC v8; Clinical Stage I Esophageal Squamous Cell Carcinoma AJCC v8; Clinical Stage I Gastroesophageal Junction Adenocarcinoma AJCC v8; Clinical Stage II Esophageal Adenocarcinoma AJCC v8; Clinical Stage II Esophageal Squamous Cell Carcinoma AJCC v8; Clinical Stage II Gastroesophageal Junction Adenocarcinoma AJCC v8; Clinical Stage IIA Esophageal Adenocarcinoma AJCC v8; Clinical Stage IIA Gastroesophageal Junction Adenocarcinoma AJCC v8; Clinical Stage IIB Esophageal Adenocarcinoma AJCC v8; Clinical Stage IIB Gastroesophageal Junction Adenocarcinoma AJCC v8; Clinical Stage III Esophageal Adenocarcinoma AJCC v8; Clinical Stage III Esophageal Squamous Cell Carcinoma AJCC v8; Clinical Stage III Gastroesophageal Junction Adenocarcinoma AJCC v8; Clinical Stage IVA Esophageal Adenocarcinoma AJCC v8; Clinical Stage IVA Esophageal Squamous Cell Carcinoma AJCC v8; Clinical Stage IVA Gastroesophageal Junction Adenocarcinoma AJCC v8; Pathologic Stage I Esophageal Adenocarcinoma AJCC v8; Pathologic Stage I Esophageal Squamous Cell Carcinoma AJCC v8; Pathologic Stage I Gastroesophageal Junction Adenocarcinoma AJCC v8; Pathologic Stage IA Esophageal Adenocarcinoma AJCC v8; Pathologic Stage IA Esophageal Squamous Cell Carcinoma AJCC v8; Pathologic Stage IA Gastroesophageal Junction Adenocarcinoma AJCC v8; Pathologic Stage IB Esophageal Adenocarcinoma AJCC v8; Pathologic Stage IB Esophageal Squamous Cell Carcinoma AJCC v8; Pathologic Stage IB Gastroesophageal Junction Adenocarcinoma AJCC v8; Pathologic Stage IC Esophageal Adenocarcinoma AJCC v8; Pathologic Stage IC Gastroesophageal Junction Adenocarcinoma AJCC v8; Pathologic Stage II Esophageal Adenocarcinoma AJCC v8; Pathologic Stage II Esophageal Squamous Cell Carcinoma AJCC v8; Pathologic Stage II Gastroesophageal Junction Adenocarcinoma AJCC v8; Pathologic Stage IIA Esophageal Adenocarcinoma AJCC v8; Pathologic Stage IIA Esophageal Squamous Cell Carcinoma AJCC v8; Pathologic Stage IIA Gastroesophageal Junction Adenocarcinoma AJCC v8; Pathologic Stage IIB Esophageal Adenocarcinoma AJCC v8; Pathologic Stage IIB Esophageal Squamous Cell Carcinoma AJCC v8; Pathologic Stage IIB Gastroesophageal Junction Adenocarcinoma AJCC v8; Pathologic Stage III Esophageal Adenocarcinoma AJCC v8; Pathologic Stage III Esophageal Squamous Cell Carcinoma AJCC v8; Pathologic Stage III Gastroesophageal Junction Adenocarcinoma AJCC v8; Pathologic Stage IIIA Esophageal Adenocarcinoma AJCC v8; Pathologic Stage IIIA Esophageal Squamous Cell Carcinoma AJCC v8; Pathologic Stage IIIA Gastroesophageal Junction Adenocarcinoma AJCC v8; Pathologic Stage IIIB Esophageal Adenocarcinoma AJCC v8; Pathologic Stage IIIB Esophageal Squamous Cell Carcinoma AJCC v8; Pathologic Stage IIIB Gastroesophageal Junction Adenocarcinoma AJCC v8; Pathologic Stage IVA Esophageal Adenocarcinoma AJCC v8; Pathologic Stage IVA Esophageal Squamous Cell Carcinoma AJCC v8; Pathologic Stage IVA Gastroesophageal Junction Adenocarcinoma AJCC v8; Postneoadjuvant Therapy Stage I Esophageal Adenocarcinoma AJCC v8; Postneoadjuvant Therapy Stage I Esophageal Squamous Cell Carcinoma AJCC v8; Postneoadjuvant Therapy Stage I Gastroesophageal Junction Adenocarcinoma AJCC v8; Postneoadjuvant Therapy Stage II Esophageal Adenocarcinoma AJCC v8; Postneoadjuvant Therapy Stage II Esophageal Squamous Cell Carcinoma AJCC v8; Postneoadjuvant Therapy Stage II Gastroesophageal Junction Adenocarcinoma AJCC v8; Postneoadjuvant Therapy Stage III Esophageal Adenocarcinoma AJCC v8; Postneoadjuvant Therapy Stage III Esophageal Squamous Cell Carcinoma AJCC v8; Postneoadjuvant Therapy Stage III Gastroesophageal Junction Adenocarcinoma AJCC v8; Postneoadjuvant Therapy Stage IIIA Esophageal Adenocarcinoma AJCC v8; Postneoadjuvant Therapy Stage IIIA Esophageal Squamous Cell Carcinoma AJCC v8; Postneoadjuvant Therapy Stage IIIA Gastroesophageal Junction Adenocarcinoma AJCC v8; Postneoadjuvant Therapy Stage IIIB Esophageal Adenocarcinoma AJCC v8; Postneoadjuvant Therapy Stage IIIB Esophageal Squamous Cell Carcinoma AJCC v8; Postneoadjuvant Therapy Stage IIIB Gastroesophageal Junction Adenocarcinoma AJCC v8; Postneoadjuvant Therapy Stage IVA Esophageal Adenocarcinoma AJCC v8; Postneoadjuvant Therapy Stage IVA Esophageal Squamous Cell Carcinoma AJCC v8; Postneoadjuvant Therapy Stage IVA Gastroesophageal Junction Adenocarcinoma AJCC v8; Thoracic Esophagus Squamous Cell Carcinoma,Esophageal and Gastroesophageal Junction Cancer
2081,Medulloblastoma Recurrent; Ependymoma Recurrent; ATRT Recurrent,Recurrent CNS Tumors
2082,"Medulloblastoma, Childhood",Childhood Medulloblastoma
2083,T-lymphoblastic Lymphoma,T-lymphoblastic Leukemia/Lymphoma
2084,Non-small Cell Lung Cancer(NSCLC),Non-small Cell Lung Cancer(NSCLC)
2085,Coronary Stenosis,Coronary Stenosis
2086,Hand-Foot Syndrome; Breast Cancer,Breast Cancer with Hand-Foot Syndrome
2087,Immunoglobulin A Nephropathy,Immunoglobulin A Nephropathy
2088,Coronary Restenosis,Coronary Restenosis
2089,"Gingival Recession, Localized","Gingival Recession, Localized"
2090,Aortic Aneurysm,Aortic Aneurysm
